Date,From,To
2024-08-19 13:35:00,ZRH,SFO
2024-08-15 10:10:00,OSL,ZRH
2024-08-15 00:05:00,BKK,OSL
2024-08-14,MNL,BKK
2024-08-12 18:30:00,BWN,MNL
2024-08-11 13:10:00,TPE,BWN
2024-08-08 23:45:00,SFO,TPE
2024-07-15 01:45:00,ZRH,SFO
2024-07-06 14:20:00,SFO,ZRH
2024-05-01 14:23:00,PVR,SFO
2024-04-23 09:00:00,SFO,PVR
2023-12-16 15:50:00,AKL,SFO
2023-12-04,NAN,AKL
2023-11-28 22:35:00,SFO,NAN
2023-11-20 14:20:00,LIH,SFO
2023-11-16 12:10:00,OGG,LIH
2023-11-12 08:05:00,KOA,OGG
2023-11-07 09:10:00,SFO,KOA
2023-09-25 13:45:00,ZRH,SFO
2023-09-11 14:20:00,SFO,ZRH
2023-04-03 08:53:00,HNL,SFO
2023-04-03 06:55:00,GUM,HNL
2023-04-01 16:50:00,TKK,GUM
2023-04-01 15:40:00,PNI,TKK
2023-03-30 11:35:00,MAJ,PNI
2023-03-27 07:25:00,HNL,MAJ
2023-03-26 01:55:00,SFO,HNL
2022-12-31 21:20:00,PPT,SFO
2022-12-28 12:35:00,BOB,PPT
2022-12-26 12:10:00,MOZ,BOB
2022-12-26,PPT,MOZ
2022-12-25 13:55:00,SFO,PPT
2022-11-30 09:00:00,CDG,SFO
2022-11-29 12:35:00,VIL,ORY
2022-11-18 17:55:00,LIS,DSS
2022-11-16 17:45:00,FRA,LIS
2022-11-15 18:45:00,SFO,FRA
2022-11-14 14:25:00,LIH,SFO
2022-11-09 15:35:00,HNL,LIH
2022-11-06 13:05:00,SFO,HNL
2022-10-24 19:20:00,LAX,OAK
2022-10-24 09:40:00,OAK,LAX
2022-09-12 12:15:00,CPH,SFO
2022-09-12 09:55:00,ARN,CPH
2022-09-12 08:05:00,RIX,ARN
2022-09-08 19:30:00,CPH,RIX
2022-09-07 16:25:00,SFO,CPH
2022-06-13 13:35:00,ZRH,SFO
2022-06-06 16:20:00,AGP,ZRH
2022-06-02 12:35:00,ZRH,AGP
2022-05-26 15:50:00,ORD,ZRH
2022-05-26 08:30:00,SFO,ORD
2022-03-19 17:35:00,SJD,SFO
2022-03-12 09:05:00,SFO,SJD
2021-07-12 18:00:00,DCA,SFO
2021-07-07,SFO,DCA
2021-04-18 11:25:00,OGG,SFO
2021-04-08 07:55:00,SFO,OGG
2020-10-02 15:10:00,SEA,SFO
2020-10-02 10:20:00,AMS,SEA
2020-10-02 07:00:00,ZRH,AMS
2020-03-03 09:45:00,PRN,ZRH
2020-02-28,ZRH,PRN
2020-02-08 19:50:00,SFO,ZRH
2020-01-31 13:15:00,ZRH,SFO
2020-01-12 00:55:00,KRT,IST
2020-01-12,IST,ZRH
2020-01-06 14:50:00,DXB,KRT
2020-01-06 10:00:00,KWI,DXB
2020-01-03 23:25:00,MCT,BAH
2020-01-03 10:20:00,BKK,MCT
2020-01-02 15:30:00,URT,DMK
2019-12-29 11:35:00,CNX,URT
2019-12-24 18:30:00,KBV,CNX
2019-12-20,DMK,HKT
2019-12-18,MCT,BKK
2019-12-17,ZRH,MCT
2019-11-11 10:55:00,FNC,MLH
2019-11-07,LIS,FNC
2019-11-03 08:50:00,MAD,ZRH
2019-11-03,ZRH,LIS
2019-11-02 12:55:00,MEX,MAD
2019-11-01,OAX,MEX
2019-10-26,RNI,BEF
